twid,tweep,twtext,fav,rt,url
584362353392758784,time,Review: Mad Men's time machine warms up for its last trip http://t.co/uXoOMrpE2U,4,3,http://ti.me/1P5ofGq
584358534239911937,time,"Germany cited for faulty oversight ahead of plane crash, report says http://t.co/bs26mA1xOF",11,27,http://ti.me/19RFytV
584354800063672320,time,7 things every kid with autism wishes you knew http://t.co/aE2i4FzOO7,59,77,http://ti.me/1xIVV7k
584353236011851776,time,"See photos of the ""blood moon"" lunar eclipse http://t.co/khHT5ywTWp",54,92,http://ti.me/1GTWM7f
584350972039815168,time,'100-year-old-teenager' with rare genetic condition dies at 17 http://t.co/1vCF9Fcurw,59,70,http://ti.me/1D3ErD4
584348980328452096,time,"See photos of Robert Downey Jr. over the years, as he turns 50 today http://t.co/cfTp2nbbsB",68,61,http://ti.me/1yKQYpL
584347236907253760,time,Watch a guy eat 100 Peeps in 2 minutes http://t.co/wuCVYICuo4,21,37,http://ti.me/1MLuelk
584345689112633344,time,Autographed Jay Cutler football goes unsold at auction http://t.co/tcJfNNT8gr,55,82,http://ti.me/1D3AMFk
584344181381980160,time,Al-Shabaab says Kenyan cities will run ‘red with blood’ http://t.co/cC6fXdePay,37,94,http://ti.me/1GTSg8S
584342193214730240,time,Here’s what you need to know about the Iran deal http://t.co/De3KsgcknY,46,52,http://ti.me/1D3ytly
584339718592188416,time,Watch this snowboarder get hit in the head by a chairlift because he as using a selfie stick http://t.co/FHxmeCAXUU,36,46,http://ti.me/1F9xv4p
584335882481709057,time,A survivor was found two days after the Kenya university attack that left 148 dead http://t.co/2iStHCa2zu,73,109,http://ti.me/1GTQx3p
584332118483927040,time,Watch live: the moon is emerging from today's total lunar eclipse http://t.co/2IGoN7hPPp,61,92,http://ti.me/1NP7eir
584328333581807616,time,Blue Bell shuts down ice cream factory after deaths http://t.co/HyxeBVS5se,34,117,http://ti.me/1D3swVT
584324632179843073,time,Catch up with the top news of the day by subscribing to The Brief http://t.co/RNaSvPFKTF,10,8,http://ti.me/1NFQvOp
584317391863152641,time,Watch live: the 'Blood Moon' total lunar eclipse http://t.co/p7sMQC4yLH,73,109,http://ti.me/1D3nicA
584309508232609792,time,These are the 7 green superfoods you should be eating http://t.co/Eq0R43UVAa,97,90,http://ti.me/1F9HiHz
584297253755625474,time,Watch live: the 'Blood Moon' total lunar eclipse http://t.co/txCYGGfsba http://t.co/IMlvRTlWdD,615,933,http://ti.me/1NOIiaw
584294392363675648,time,Update your Easter basket with gourmet Peeps and 5 other treats http://t.co/rO7RlCPy1u,10,15,http://ti.me/1F9ETwE
584279270157115392,time,5 rituals that will help you find your “sweet spot” of happiness http://t.co/6SjLKGxVHL,94,76,http://ti.me/19TZT27
584264199360159744,time,These are the best food cities in America http://t.co/abN6UqEd4B,75,50,http://ti.me/1bUrRMh
584249111664287744,time,Why one-bag living has simplified this man's life http://t.co/xS5dqpKUym,57,43,http://ti.me/1Ga81t2
584233981350178816,time,Try these 12 desserts for an extra sweet Easter http://t.co/p7p7ZjL4ZO,36,30,http://ti.me/1HsYafk
584218905704583168,time,17 ways to lose weight when you're on a busy schedule http://t.co/13F75uzVaj,181,82,http://ti.me/1F9GPFn
584203529553911808,time,Captain Sully: Pilots need to feel safe admitting mental illness http://t.co/C5aJNS6rU1,59,58,http://ti.me/1F9lLPq
584196253178798081,time,Half of us have quit our job because of a bad boss http://t.co/86zczMJSHO,146,161,http://ti.me/1G9SqK3
584188744535830528,time,"See photos of the stars of TGIF, then and now http://t.co/UW03j3OXn8 Photo: @GettyImages http://t.co/J2qES4UsVj",171,84,http://ti.me/1G9Ql0K
584181181962440704,time,5 types of friends you need to avoid http://t.co/6kYmyCHxBm,145,133,http://ti.me/1xJgVLl
584173630910832640,time,Subscribe to The Brief and get the day's top news delivered to your inbox http://t.co/qBRKx3Zdeu,9,6,http://ti.me/19zKunj
584166059047047168,time,"19 real-life ads from the ""Mad Men"" era http://t.co/DB4X5u6dw0",75,65,http://ti.me/1xJgBvO
584158557811175424,time,"""Hillary Clinton is the perfect age to be President"" http://t.co/19UE3VoFGg",143,110,http://ti.me/1IvPaGs
584151920891265024,time,How to watch the shortest lunar eclipse of the century on Saturday http://t.co/EG3DIIXlUQ,63,110,http://ti.me/1MLKm6c
584143463832231936,time,Why religious freedom bills could be great for gay rights http://t.co/FoggpE3ulG,37,45,http://ti.me/1IvONf5
584139613129859072,time,10 new tricks to improve your memory http://t.co/iBUporeD2v,185,124,http://ti.me/1IvKf8s
584135879549136898,time,This woman took a year off from her marriage to sleep with other people http://t.co/epXeKYTi9V,54,62,http://ti.me/1bU7kaB
584132321953067008,time,California’s water crisis by the numbers http://t.co/ngEOwkKZwJ,49,83,http://ti.me/19Tjm2W
584128352488923139,time,Survivor of deadly Kenya university attack says gunmen had scouted campus http://t.co/wZkQ4ZLmcA,25,51,http://ti.me/1F9qe4D
584124519461302272,time,"How ""Fast and the Furious"" became Hollywood's greatest action-movie franchise http://t.co/0sMsMcBd4d http://t.co/UGtP1W9t8h",158,175,http://ti.me/1F9qaBY
584120779299803136,time,Captain Sully: Pilots need to feel safe admitting mental illness http://t.co/eVaiqGhRmm,48,43,http://ti.me/1bUbzTP
584116961019359234,time,How @CocaCola became kosher for Passover http://t.co/yxVNxvToMj,48,35,http://ti.me/1xJ7BXR
584113260086988801,time,7 inspirational messages from Pope Francis for Easter http://t.co/lcTUWBrOcz,85,102,http://ti.me/1xJ7ziw
584109418708660225,time,Who should be on the #TIME100? Vote now http://t.co/7M2EykytTf,15,36,http://ti.me/1P5vvSL
584105662046679041,time,France just banned ultra-thin models http://t.co/t1VIlCNVOe,123,186,http://ti.me/1P5vi1S
584101858366644225,time,"""Mad Men"" made TV history by making history into TV http://t.co/qzqiytWmaf http://t.co/eE9WrzJoUs",281,245,http://ti.me/19TgjaP
584098110537916416,time,Read a photographer's story from the night MLK was murdered http://t.co/dv791sTXdR,53,69,http://ti.me/1F9oTea
584094563339468800,time,A look back at Apple's 6 biggest product releases http://t.co/syzQwuFaEG,39,31,http://ti.me/1ERu9YR
584090555317145606,time,Animals may be able to predict earthquakes 3 weeks in advance http://t.co/L2JpzOb5K8,107,141,http://ti.me/1P5tSEw
584086765335633920,time,Watch The Rock crush Jimmy Fallon with his lip-sync cover of 'Shake It Off' http://t.co/VtT6WjNAe3,60,39,http://ti.me/1HstoTJ
584083083747581954,time,3 counterintuitive lessons from Passover http://t.co/qghotLRwfs,27,23,http://ti.me/1ERtnLC
584079219203973120,time,5 charts that show why the iPad's fifth birthday is bittersweet http://t.co/v7bVaEoB2F,21,24,http://ti.me/1ERth6x
584075453935259648,time,"Watch a Passover-themed parody of ""Uptown Funk"" http://t.co/JvpvCg1veJ",41,39,http://ti.me/1HsgB3v
584071685806120960,time,There’s more than just physics keeping drones in the air http://t.co/EMuaWI0AF3,19,30,http://ti.me/1P5kYXS
584067928859013120,time,This is how drones work http://t.co/5u4gkIvkxp,33,33,http://ti.me/1xIPW2k
584063849847984128,time,The countdown for Clinton to announce her candidacy has begun http://t.co/Dvj4zNOkL8,57,74,http://ti.me/1xIPSQ2
584060371662680064,time,How Sprint could help Tidal actually succeed http://t.co/4ikY2zt93m,13,15,http://ti.me/1ERdRiA
584060326469103616,time,Our obsession with the Fall of Rome reflects our belief in the end times http://t.co/K8RMzKN3yU,39,38,http://ti.me/1F9xkGg
584058146857082881,time,"Waitress tracks down customers who left $1,300 behind http://t.co/QLdPr1GDfn",34,59,http://ti.me/1HsHW5M
584056588589211648,time,Easter egg cookies and 8 other food recalls this week http://t.co/JfiSxhzaPz,14,36,http://ti.me/1P5j8WU
584052825816182784,TIMEWorld,France just banned ultra-thin models http://t.co/8MzZAscyAU,75,79,http://ti.me/1DFrfVM
584052801153687552,time,One of Microsoft's best apps is now on iPhone and Android http://t.co/zztwJBFxXg,67,60,http://ti.me/1F9fdjz
584051922967080960,time,Watch this snowboarder get hit in the head by a chairlift because he as using a selfie stick http://t.co/mhVDbqRT5m,34,42,http://ti.me/1MLP2ck
584050837137313793,wyntonmarsalis,I spoke with @LIFE (thanks @LizabethRonk) to commemorate the hundredth anniversary of Billie Holiday's birth http://t.co/VGz4VUXwPP,70,64,http://ti.me/19SKAqe
584049032596688896,time,These maps show which Final Four teams each state is talking about on Facebook http://t.co/EHNbVWJKu6,15,19,http://ti.me/1F9f7sn
584046152338829312,ArpitaAneja,"Happy birthday, Billie. We'll be seeing you. ~VIDEO with Wynton Marsalis http://t.co/rtleJruMnV via @TIMEvideo @TIME http://t.co/1k9K8UAkEf",149,139,http://ti.me/19SKAqe
584045245693833217,time,How you can block calls and texts on your smartphone http://t.co/dajpHW8yFM,106,58,http://ti.me/1G9raeD
584041463341850624,time,10 new tricks to improve your memory http://t.co/av7qn1yK0l,120,104,http://ti.me/1G9qQg2
584038013136691201,doddsef,Even more true now than two years ago: How 'Fast and Furious' became Hollywood’s greatest action-movie franchise http://t.co/jBDvY7WCHO,31,31,http://ti.me/1FqkmGJ
584037695032324097,time,Parking attendant totals Ferrari in Rome after mistaking accelerator for brake http://t.co/iYpNHeZyf7,40,63,http://ti.me/19SSP5H
584037352248627200,TIMEHealth,Running with your dog: 17 dos and don'ts http://t.co/LWkvXjd3QD,29,32,http://ti.me/19P1GVG
584035501646176256,time,Watch The Rock crush Jimmy Fallon with his lip-sync cover of 'Shake It Off' http://t.co/NXnYtEG2cC,47,42,http://ti.me/1FqiSw7
584034682263707649,TIMEPolitics,A psychophramacologist on why Hillary Clinton is the perfect age to be president http://t.co/z0G1N8kmQL via @TIMEIdeas,26,35,http://ti.me/1NGS3Wl
584034400310009856,lizabeaner,Wynton Marsalis sat down with @LIFE to talk about Billie Holiday's 100th (props to @ArpitaAneja and @LizabethRonk) http://t.co/JFFpIoZAZU,37,37,http://time.com/3769232/wynton-marsalis-billie-holiday/
584033915851165696,time,Who should be on the #TIME100? Vote now http://t.co/sqOwq9mH49,12,21,http://ti.me/19SSG2g
584033296255995904,time,France just banned ultra-thin models http://t.co/0MlHJX1Ydl,116,145,http://ti.me/1Hsrsuk
584031924127211521,time,George R.R. Martin determined to finish new 'Game of Thrones' book by 2016 http://t.co/tCcvW55dNT,93,120,http://ti.me/1ERq2fs
584030154776776705,time,7 inspirational messages from Pope Francis for Easter http://t.co/S1HSQ5LrSw,81,104,http://ti.me/19SSvUG
584029882876854273,ryansager,The art of stillness: http://t.co/OIaq0hWE1f via @TIMEIdeas,19,17,http://ti.me/1CP7vOL
584027653860130817,TIMECulture,Should @KimKardashian be on the #TIME100? Vote now http://t.co/pfJyEcwmAs,6,12,http://ti.me/1EBbOMM
584026358499643393,time,How @CocaCola became kosher for Passover http://t.co/RNe0BHFHSn,39,45,http://ti.me/1Fq2dZy
584022621550968832,time,Easter egg cookies and 8 other food recalls this week http://t.co/j4V5V4A8JR,9,24,http://ti.me/1FpJLjL
584021114331992065,erstraus,Hoping this results in an EDM version of 'Style.' -- Taylor Swift is seen holding hands with DJ Calvin Harris http://t.co/ofPxDkPx6w,35,13,http://ti.me/1EQR3zI
584020651960377344,time,Pennsylvania woman charged with plot to aid ISIS http://t.co/UBt44o0GoR,24,36,http://ti.me/1bU3oH4
584020437501345792,TIMECulture,Should “50 Shades of Grey” author @E_L_James be on the #TIME100? Vote now http://t.co/GobhMgtVHU,9,17,http://ti.me/199Srz1
584018836824920064,time,"See a slap, hit the tap: Your Final Four drinking game http://t.co/ZtHHTHAU24",17,17,http://ti.me/1IvpE43
584018582578814977,TIMENewsFeed,Runaway pig found pigging out at Burger King http://t.co/HOk4bqeKfT,29,32,http://ti.me/1NGKVta
584017082314010625,time,Captain Sully: Pilots need to feel safe admitting mental illness http://t.co/bNZxhBa7u3,63,58,http://ti.me/1F9e6Av
584016936524124161,time,Hostages sue French media over kosher supermarket coverage http://t.co/GCaCJ401Ol,15,31,http://ti.me/1P55Utc
584015447244328960,arogDC,Obama has been to 49 states while in office. South Dakota tourism sec: “I’m convinced he’s saving the best for last” http://t.co/lBzvB3CrXS,72,55,http://ti.me/1GRyrPB
584015045459316737,time,Here’s what one woman learned from taking a year off from her marriage http://t.co/qYuG2yTIxq,33,23,http://ti.me/1EQKwVA
584013540383666176,TIMECulture,Do you think @BethanyMota belongs on the #TIME100? Vote now http://t.co/GoSLyuFiFI,10,6,http://ti.me/1I79gXK
584011831326482432,TIMEPolitics,"Hillary Clinton signs lease on campaign space, giving her two weeks to announce http://t.co/kNTjVP34Vh via @Sam_Frizell",46,69,http://ti.me/1NGEzKo
584011263002443776,time,Man rescued from damaged sailboat after going missing for 66 days http://t.co/rpOlfWtUeE,31,37,http://ti.me/1G9amEK
584008133837729793,diane_tsai,Fascinating and terrifying — why no one agrees whether a locked or open cockpit door is safer http://t.co/wqytNFM5Oo,41,40,http://ti.me/1MHjm7W
584007520152395776,time,Watch a Passover-themed a capella parody of 'Uptown Funk' http://t.co/c7YA77IhY8,30,23,http://ti.me/1xIno93
584007181739098113,timepictures,See the most surreal Easter celebration: Rocketwar | http://t.co/bxt8DV0Vqh Photo: Marco Kesseler http://t.co/WpItEajYvE,35,21,http://ti.me/1NGi1th
584005198261149696,time,Survivor of deadly Kenya university attack says gunmen had scouted campus http://t.co/cX9wBZCPrP,16,54,http://ti.me/1F8Wfd7
584005196247912449,time,.@RealLucyLawless says a new generation of fans are discovering 'Xena' on Netflix http://t.co/FY64XWGLXN,27,21,http://ti.me/1F8ZW2s
584004019351322624,TIMECulture,"If you think @AnnaKendrick47 is acamazing, vote for her in the #TIME100 poll http://t.co/wSskc8IoWk",21,16,http://ti.me/1BXF0wr
584003096570888192,time,Taylor Swift seen holding hands with DJ Calvin Harris http://t.co/zaI7e1VqES,65,50,http://ti.me/1EQS3E1
584001773309931522,LIFE,The photograph that captured the horror of MLK’s assassination. Photo: Joseph Louw http://t.co/Elufzd63RL http://t.co/27AEViTdZc,209,219,http://ti.me/1FpOulw
583999841501581312,time,10-year-old boy jumps to his death after losing chess match http://t.co/a5gBd2nfSc,42,91,http://ti.me/1IvpR7g
583999513205026816,m_rhodan,ICYMI This is the only state Obama has never visited as President http://t.co/xMx90OFscw,11,16,http://ti.me/1GRyrPB
583999496759222273,ryansager,Former Ambassador Michael Oren: Iran deal shows 'how not to buy a Middle Eastern carpet': http://t.co/iPmx0HS8pj via @TIMEIdeas,19,18,http://ti.me/1MKYVH8
583995890169446400,time,Huge fire rages at General Electric building http://t.co/Ly4RS0fluS,11,36,http://ti.me/1P516UM
583995217600188416,paulmoakley,Christians hunted down as al-Shabaab take their war from Somalia to Kenya http://t.co/JZf5yIXsSA via @TIMEWorld,22,58,http://ti.me/1MFXuKe
583994947851923456,time,Watch Michelle Obama and Jimmy Fallon dance like moms (again) http://t.co/c8Ow2VsBRh,51,49,http://ti.me/1xIpupq
583992363657404417,time,Netanyahu and cabinet 'united in strongly opposing' Iran nuclear deal http://t.co/UhPEMQkuDH,22,33,http://ti.me/1FpJmhb
583991472929779712,JoshRaabPhoto,Lukas Berger discovers that the best way to photograph the circus is to join it http://t.co/f7wAEubSgh @timepictures http://t.co/37VoKMHpz3,55,28,http://ti.me/1FTa4Sm
583987865257959424,TIMEPolitics,Saudi air war over Yemen leaves U.S. military on the sidelines http://t.co/aIvYQLNEW9 via @MarkThompson_DC,17,27,http://ti.me/1DBjeRr
583987284170690561,time,Who should be on the #TIME100? Vote now http://t.co/4usC2Slfeb,20,30,http://ti.me/1F8SBjl
583981776697163777,time,'Romeo and Juliet' dinosaurs found buried together http://t.co/W6XkIED4xL,97,89,http://ti.me/1G92X8m
583973640422694912,time,Watch Michelle Obama and Jimmy Fallon dance like moms http://t.co/c3zcCf426Q,60,60,http://ti.me/1P4OY6f
583970255770357760,time,Germanwings co-pilot accelerated before crashing plane http://t.co/CMgY9bXbCV,27,54,http://ti.me/1F8IU4l
583968383500230656,time,Watch three women lip sync their way through musical history http://t.co/hwPFi9UyGG,43,47,http://ti.me/1EPoYIQ
583964266182610944,time,California’s water crisis by the numbers http://t.co/xrOXkhUQSZ,50,70,http://ti.me/1xHlB49
583960216678637568,time,Dennis Ross: Iran negotiation isn’t over until it’s over http://t.co/1MdFmhzLad,8,27,http://ti.me/1IuUs53
